country_code,iata,latitude,longitude,relative lat,relative long,% lat,% long,,,,,,,,,,
US,CHO,38.1385994,-78.45290375,10.2514006,2.64709625,0.44282508,0.060685379,573.1557996,156.5299809,,,,,,,,
US,CHS,32.89860153,-80.04049683,15.49139847,1.05950317,0.66917488,0.02428939,784.340163,135.8206626,,,,,,,,
US,CID,41.88470078,-91.71080017,6.50529922,-10.61080017,0.281006446,-0.243255391,422.1790139,-16.41231767,,,,,,,,
US,CIU,46.25080109,-84.47239685,2.13919891,-3.37239685,0.092406,-0.077313087,246.2147984,78.00885356,,,,,,,,
US,CKB,39.29660034,-80.22810364,9.09339966,0.87189636,0.392803441,0.019988454,526.4856105,133.3734303,,,,,,,,
US,CLE,41.4117012,-81.84980011,6.9782988,-0.74980011,0.301438393,-0.017189365,441.2420208,112.2192512,,,,,,,,
US,CLL,30.58860016,-96.36380005,17.80139984,-15.26380005,0.768958956,-0.34992664,877.4387063,-77.10825833,,,,,,,,
US,CLT,35.2140007,-80.94309998,13.1759993,0.15690002,0.569157637,0.003596974,691.0240755,124.0466784,,,,,,,,
US,CMH,39.998001,-82.891899,8.391999,-1.791899,0.362505356,-0.041079757,498.2174975,98.62561827,,,,,,,,
US,CMI,40.03919983,-88.27809906,8.35080017,-7.17809906,0.360725709,-0.164559813,496.5570868,28.36546618,,,,,,,,
US,CMX,47.16839981,-88.4890976,1.22160019,-7.3890976,0.052768907,-0.169397011,209.2333899,25.613101,,,,,,,,
US,CNY,38.75500107,-109.7549973,9.63499893,-28.6549973,0.416198658,-0.656923368,548.3133478,-251.7893962,,,,,,,,
US,COD,44.52019882,-109.0240021,3.86980118,-27.9240021,0.167162038,-0.64016511,315.9621815,-242.2539476,,,,,,,,
US,COS,38.805801,-104.700996,9.584199,-23.600996,0.414004276,-0.541059055,546.2659899,-185.8626026,,,,,,,,
US,COU,38.8181,-92.219597,9.5719,-11.119597,0.413473002,-0.254919693,545.770311,-23.0493052,,,,,,,,
US,CPR,42.908001,-106.463997,5.481999,-25.363997,0.236803413,-0.581476318,380.9375839,-208.8600251,,,,,,,,
US,CRP,27.77039909,-97.50119781,20.61960091,-16.40119781,0.890695504,-0.376001784,991.0189049,-91.94501499,,,,,,,,
US,CRW,38.37310028,-81.59320068,10.01689972,-0.49320068,0.432695452,-0.011306756,563.704857,115.5664561,,,,,,,,
US,CSG,32.5163002,-84.93890381,15.8736998,-3.83890381,0.685688976,-0.088007882,799.7478148,71.92351518,,,,,,,,
US,CVG,39.04880142,-84.6678009,9.34119858,-3.5678009,0.403507498,-0.081792776,536.4724957,75.45991031,,,,,,,,
US,CWA,44.77759933,-89.66680145,3.61240067,-8.56680145,0.156043225,-0.196396182,305.5883294,10.25057256,,,,,,,,
US,CYS,41.15570068,-104.8119965,7.23429932,-23.7119965,0.312496731,-0.543603771,451.5594499,-187.3105458,,,,,,,,
US,DAB,29.179899,-81.058098,19.210101,0.041902,0.829809978,0.000960614,934.2127098,122.5465896,,,,,,,,
US,DAL,32.847099,-96.851799,15.542901,-15.751799,0.671399611,-0.361114145,786.4158373,-83.47394844,,,,,,,,
US,DAY,39.90240097,-84.2193985,8.48759903,-3.1193985,0.366634947,-0.071513033,502.0704058,81.30908422,,,,,,,,
US,DBQ,42.40200043,-90.70950317,5.98799957,-9.60950317,0.258660889,-0.220300394,401.330609,-3.350923974,,,,,,,,
US,DCA,38.8521,-77.037697,9.5379,4.062303,0.41200432,0.093129367,544.4000302,174.99061,,,,,,,,
US,DDC,37.76340103,-99.96559906,10.62659897,-18.86559906,0.459032353,-0.432498832,588.2771853,-124.0918355,,,,,,,,
US,DEC,39.83459854,-88.86569977,8.55540146,-7.76569977,0.369563778,-0.178030715,504.8030048,20.7005234,,,,,,,,
US,DEN,39.86169815,-104.6729965,8.52830185,-23.5729965,0.368393168,-0.54041716,503.7108262,-185.4973638,,,,,,,,
US,DFW,32.896801,-97.038002,15.493199,-15.938002,0.669252657,-0.365382898,784.4127286,-85.90286882,,,,,,,,
US,DHN,31.32130051,-85.44960022,17.06869949,-4.34960022,0.737308833,-0.099715732,847.9091414,65.26174862,,,,,,,,
US,DIK,46.79740143,-102.802002,1.59259857,-21.702002,0.068794755,-0.497524117,224.1855061,-161.0912228,,,,,,,,
US,DLG,59.04470062,-158.5050049,-10.65470062,-77.4050049,-0.460246247,-1.774530144,-269.4097485,-887.7076522,,,,,,,,
US,DLH,46.84209824,-92.19360352,1.54790176,-11.09360352,0.066864007,-0.254323785,222.3841184,-22.7102339,,,,,,,,
US,DRO,37.1515007,-107.7539978,11.2384993,-26.6539978,0.485464333,-0.611049927,612.9382223,-225.6874083,,,,,,,,
US,DRT,29.37420082,-100.927002,19.01579918,-19.827002,0.821416811,-0.454539248,926.3818849,-136.6328321,,,,,,,,
US,DSM,41.5340004,-93.6631012,6.8559996,-12.5631012,0.29615549,-0.288012407,436.3130724,-41.87905967,,,,,,,,
US,DTW,42.21239853,-83.35340118,6.17760147,-2.25340118,0.266851035,-0.051659816,408.972016,92.60556462,,,,,,,,
US,DVL,48.11420059,-98.90879822,0.27579941,-17.80879822,0.011913581,-0.408271394,171.1153715,-110.3064234,,,,,,,,
US,EAR,40.72700119,-99.00679779,7.66299881,-17.90679779,0.331015067,-0.41051806,468.8370579,-111.5847763,,,,,,,,
US,EAT,47.39889908,-120.2070007,0.99110092,-39.1070007,0.042812135,-0.896538301,199.9437217,-388.1302934,,,,,,,,
US,EAU,44.86579895,-91.48429871,3.52420105,-10.38429871,0.152233307,-0.238062786,302.0336751,-13.45772503,,,,,,,,
US,ECP,30.357106,-85.795414,18.032894,-4.695414,0.778958704,-0.107643604,886.7684709,60.75078941,,,,,,,,
US,EGE,39.64260101,-106.9179993,8.74739899,-25.8179993,0.377857408,-0.591884441,512.5409615,-214.7822467,,,,,,,,
US,EKO,40.82490158,-115.7919998,7.56509842,-34.6919998,0.326786109,-0.795323242,464.8914396,-330.5389245,,,,,,,,
US,ELM,42.15990067,-76.89160156,6.23009933,4.20839844,0.269118762,0.096478644,411.0878045,176.8963483,,,,,,,,
US,ELP,31.80719948,-106.3779984,16.58280052,-25.2779984,0.716319677,-0.579504778,828.3262585,-207.7382185,,,,,,,,
US,ERI,42.08312701,-80.17386675,6.30687299,0.92613325,0.272435118,0.021231849,414.1819654,134.080922,,,,,,,,
US,ESC,45.72269821,-87.09369659,2.66730179,-5.99369659,0.11521822,-0.137407075,267.4985991,43.81537461,,,,,,,,
US,EUG,44.12459946,-123.211998,4.26540054,-42.111998,0.184250563,-0.965428657,331.9057755,-427.3289056,,,,,,,,
US,EWN,35.07300186,-77.04290009,13.31699814,4.05709991,0.5752483,0.093010085,696.7066637,174.9227384,,,,,,,,
US,EWR,40.69250107,-74.16870117,7.69749893,6.93129883,0.332505353,0.158901853,470.2274947,212.4151544,,,,,,,,
US,EYW,24.55610085,-81.75959778,23.83389915,-0.65959778,1.02954208,-0.015121453,1120.562761,113.3958932,,,,,,,,
US,FAI,64.81510162,-147.8560028,-16.42510162,-66.7560028,-0.709507629,-1.530398964,-501.9706182,-748.7970104,,,,,,,,
US,FAR,46.92070007,-96.81580353,1.46929993,-15.71580353,0.063468679,-0.360288939,219.216278,-83.00440643,,,,,,,,
US,FAT,36.77619934,-119.7180023,11.61380066,-38.6180023,0.501676054,-0.885327884,628.0637588,-381.751566,,,,,,,,
US,FAY,34.99119949,-78.88030243,13.39880051,2.21969757,0.578781879,0.050887152,700.0034936,150.9547895,,,,,,,,
US,FCA,48.3105011,-114.2559967,0.0794989,-33.1559967,0.003434078,-0.760109966,163.2039945,-310.5025704,,,,,,,,
US,FLG,35.13850021,-111.6709976,13.25149979,-30.5709976,0.572418997,-0.70084818,694.0669246,-276.7826143,,,,,,,,
US,FLL,26.072599,-80.152702,22.317401,0.947298,0.9640346,0.021717056,1059.444282,134.3570051,,,,,,,,
US,FLO,34.1853981,-79.72389984,14.2046019,1.37610016,0.613589715,0.031547459,732.479204,139.9505042,,,,,,,,
US,FNT,42.9654007,-83.74359894,5.4245993,-2.64359894,0.234323944,-0.060605203,378.6242396,87.51563969,,,,,,,,
US,FOD,42.55149841,-94.19259644,5.83850159,-13.09259644,0.252203092,-0.300151225,395.3054852,-48.7860471,,,,,,,,
US,FSD,43.58200073,-96.74189758,4.80799927,-15.64189758,0.207688953,-0.358594626,353.7737935,-82.04034211,,,,,,,,
US,FSM,35.33660126,-94.36740112,13.05339874,-13.26740112,0.563861717,-0.304158669,686.0829816,-51.06628238,,,,,,,,
US,GCC,44.34889984,-105.5390015,4.04110016,-24.4390015,0.174561562,-0.560270552,322.8659373,-196.7939444,,,,,,,,
US,GCK,37.92750168,-100.723999,10.46249832,-19.623999,0.451943772,-0.449885351,581.6635392,-133.9847646,,,,,,,,
US,GEG,47.61989975,-117.5339966,0.77010025,-36.4339966,0.03326567,-0.835258978,191.0368697,-353.2623582,,,,,,,,
US,GFK,47.949299,-97.176102,0.440701,-16.076102,0.01903676,-0.368548877,177.7612973,-87.70431082,,,,,,,,
US,GGG,32.38399887,-94.71150208,16.00600113,-13.61150208,0.691403937,-0.312047274,805.0798728,-55.55489875,,,,,,,,
US,GJT,39.12239838,-108.5270004,9.26760162,-27.4270004,0.400328364,-0.628771215,533.5063633,-235.7708214,,,,,,,,
US,GNV,29.69009972,-82.27179718,18.69990028,-1.17179718,0.80777107,-0.026863759,913.6504087,106.714521,,,,,,,,
US,GPT,30.40730095,-89.07009888,17.98269905,-7.97009888,0.776790456,-0.182716618,884.7454952,18.03424432,,,,,,,,
US,GRB,44.48509979,-88.12960052,3.90490021,-7.02960052,0.168678195,-0.161155445,317.3767558,30.30255168,,,,,,,,
US,GRI,40.96749878,-98.30960083,7.42250122,-17.20960083,0.320626403,-0.394534636,459.1444336,-102.490208,,,,,,,,
US,GRK,31.06719971,-97.8289032,17.32280029,-16.7289032,0.74828511,-0.383514516,858.1500074,-96.21975976,,,,,,,,
US,GRR,42.88079834,-85.52279663,5.50920166,-4.42279663,0.237978473,-0.101393779,382.0339157,64.30693988,,,,,,,,
US,GSO,36.09780121,-79.93730164,12.29219879,1.16269836,0.530980509,0.026655166,655.4048152,137.1667897,,,,,,,,
US,GSP,34.89569855,-82.21890259,13.49430145,-1.11890259,0.58290719,-0.025651137,703.8524083,107.4045031,,,,,,,,
US,GTF,47.48199844,-111.3710022,0.90800156,-30.2710022,0.03922253,-0.693970706,196.5946201,-272.8693318,,,,,,,,
US,GTR,33.45029831,-88.59140015,14.93970169,-7.49140015,0.645343486,-0.171742323,762.105472,24.27861794,,,,,,,,
US,GUC,38.53390121,-106.9329987,9.85609879,-25.8329987,0.425749408,-0.592228306,557.2241975,-214.977906,,,,,,,,
US,HDN,40.48120117,-107.2180023,7.90879883,-26.1180023,0.341632779,-0.598762088,478.7433827,-218.6956284,,,,,,,,
US,HGR,39.707901,-77.72949982,8.682099,3.37050018,0.375036674,0.077269605,509.9092167,165.9664054,,,,,,,,
US,HHH,32.22439957,-80.69750214,16.16560043,0.40249786,0.698298075,0.00922737,811.5121037,127.2503733,,,,,,,,
US,HIB,47.38660049,-92.83899689,1.00339951,-11.73899689,0.043343391,-0.269119599,200.4393841,-31.12905159,,,,,,,,
